proverbs ,meaning
"Ìbẹ̀rẹ̀ ogun la mọ̀, ẹnìkan kìí mọ ìparí rẹ̀",Always seek peace; no one ever knows the full ramifications of a quarrel at the beginning
Òkun kìí hó ruru ká wàá ruru,Be patient; complex issues need to be patiently handled
"Màjà màsá làá mọ akínkanjú, èyí tó mọ̀ọ́ jà tí ò mọ̀ọ́ sá, irú wọn níí bógun lọ","Who fights and run away at the point of death, lives to fight some other day"
"Kékeré la ti ń pẹ̀kan ìrókò, torí tí ó bá dàgbà tán ẹbọ níí gbà",An evil habit is easily subdued in the beginning but when it becomes incurable it gains strength
Àìmọ̀kan àìmọ̀kan ní èkúté ṣe ń pe ológbò níjà,Never taunt an adversary you cannot handle
Ọ̀rọ̀ pẹ̀lẹ́ ní yọ obì lápò,Soft words win hard hearts
Ìdọ̀bálẹ̀ kìí ṣe ìwà,One prostrating is not tantamount to good manners.
Máfara kànmí kìí lọ sọ́jà lo ra nǹkan,Who does not want to relate and be touched must resist going to the market-place.
"Ohun tó wù ọ́ ò wùmí, l’ọmọ ìyá méjì ṣe ń jẹun lọ́tọ́ọ̀tọ̀","All men do not admire and love the same objects, hence the reason for children of the same mother to eat with different plates."
"A gbọ́ ẹjọ́ ẹnìkan dá, àgbà òṣìkà ni","A wise mediator seeks balance, fairness and equity in resolving disputes"
Oko kìí jẹ́ ti baba t’ọmọ kómá ní ààlà,"It emphasizes the importance of boundaries and clear distinctions, especially in matters of ownership or responsibility"
Mọ̀wà fún oníwà níí jẹ́ ọ̀rẹ́ jọ̀rẹ́,To know people according to their beliefs and character is the means to enhance friendship
Àì fàgbà fẹ́nìkan ni ò jẹ́ ayé ó rójú,Lack of respect for the elders is the root of the crisis in the world.
Kò sí ìgbà tí a dáṣọ tí a kò rí ilẹ̀ fi wọ́,Contentment and patient is crucial
Ojú kì í pọnni ká fàkísà bora.,"Despite adverse circumstances, one should strive to maintain one’s dignity"
San là ń rìn; ajé ní múni pá kọ̀rọ̀.,"When one is in debt, one’s freedom of movement is compromised."
"Aṣọ ńlá kọ́ ni èèyàn ńlá, Ìrínisí ni ìsọnilọ́jọ̀",Appearance can be deceptive
A kì í ṣe fáàárí itọ́ dídà sọ́mọ a-kú wárápá.,Never make fun of afflicted people by mimicking their affliction
Àgbà òṣìkà ń gbin ìyà sílẹ̀ de ọmọ-ọ rẹ̀.,One’s character often affects the fortunes of one’s children
Ará ìwájú tó jìn sí kòtò èrò ẹ̀yìn ló kán lọ́gbọ́n.,A leader's mistake serves as a lesson in wisdom for the followers.
Ẹní rúbọ òrìṣà-á gbọ́dọ̀ rú ti èèyàn kí ẹbọ-ọ́ tó gbà.,One can please the gods and yet run afoul of humans
Iná èsìsì kì í jóni lẹ́ẹ̀mejì.,"If you have a bad experience doing something the first time, you'll be more cautious and worried about doing it a second time"
"Iṣú ta iṣu ò ta, ọ̀kọ̀ọ̀kan là ń wúṣu lébè.",There is no task so small or insignificant that it does not deserve care and attention.
Ohun tó jọ ohun la fi ń wé ohun; èpo ẹ̀pà ló jọ ìtẹ́ ẹ̀lírí.,One should observe propriety in dealing with people respectable people.
Orí tí yóò jẹ igún kì í gbọ́; bí wọ́n fun ládìẹ kò níí gbà.,The person destined to suffer will manage to succumb to the suffering even in spite of efforts by others to save him/her.
"Arúgbó ṣoge rí, àkísà-á lògbà rí.",Those who are favored should remember that times and circumstances do change
Gbogbo ajá ní ń jẹ imí: èyí tó bá jẹ tiẹ̀ bẹ́nu laráyé ń pè ní dìgbòlugi.,"No one is without blemish, but one must keep one’s flaws within reasonable bounds."
